dataset,area,sex,ICCC,graph,year,age_group,measure,value_text
CYPC,British Columbia,1,25,L,2023,B,4,
CYPC,British Columbia,1,25,L,2023,C,1,<5
CYPC,British Columbia,1,25,L,2023,C,2,<5
CYPC,British Columbia,1,25,L,2023,C,3,
CYPC,British Columbia,1,25,L,2023,C,4,
CYPC,British Columbia,1,25,L,2023,D,1,<5
CYPC,British Columbia,1,25,L,2023,D,2,<5
CYPC,British Columbia,1,25,L,2023,D,3,
CYPC,British Columbia,1,25,L,2023,D,4,
CYPC,British Columbia,1,25,L,2023,E,1,<5
CYPC,British Columbia,1,25,L,2023,E,2,<5
CYPC,British Columbia,1,25,L,2023,E,3,
CYPC,British Columbia,1,25,L,2023,E,4,
CYPC,British Columbia,1,25,L,2023,S,1,<5
CYPC,British Columbia,1,25,L,2023,S,2,<5
CYPC,British Columbia,1,25,L,2023,S,5,
CYPC,British Columbia,1,25,L,2023,S,6,
CYPC,British Columbia,1,30,L,2023,B,1,<5
CYPC,British Columbia,1,30,L,2023,B,2,5
CYPC,British Columbia,1,30,L,2023,B,3,
CYPC,British Columbia,1,30,L,2023,B,4,45.47
CYPC,British Columbia,1,30,L,2023,C,1,<5
CYPC,British Columbia,1,30,L,2023,C,2,20
CYPC,British Columbia,1,30,L,2023,C,3,
CYPC,British Columbia,1,30,L,2023,C,4,42.68
CYPC,British Columbia,1,30,L,2023,D,1,5
CYPC,British Columbia,1,30,L,2023,D,2,20
CYPC,British Columbia,1,30,L,2023,D,3,37.68
CYPC,British Columbia,1,30,L,2023,D,4,31.04
CYPC,British Columbia,1,30,L,2023,E,1,5
CYPC,British Columbia,1,30,L,2023,E,2,20
CYPC,British Columbia,1,30,L,2023,E,3,36.04
CYPC,British Columbia,1,30,L,2023,E,4,29.87
CYPC,British Columbia,1,30,L,2023,S,1,15
CYPC,British Columbia,1,30,L,2023,S,2,65
CYPC,British Columbia,1,30,L,2023,S,5,41.78
CYPC,British Columbia,1,30,L,2023,S,6,34.46
CYPC,British Columbia,1,31,L,2023,B,1,<5
CYPC,British Columbia,1,31,L,2023,B,2,<5
CYPC,British Columbia,1,31,L,2023,B,3,
CYPC,British Columbia,1,31,L,2023,B,4,
CYPC,British Columbia,1,31,L,2023,C,1,<5
CYPC,British Columbia,1,31,L,2023,C,2,<5
CYPC,British Columbia,1,31,L,2023,C,3,
CYPC,British Columbia,1,31,L,2023,C,4,
CYPC,British Columbia,1,31,L,2023,D,1,<5
CYPC,British Columbia,1,31,L,2023,D,2,<5
CYPC,British Columbia,1,31,L,2023,D,3,
CYPC,British Columbia,1,31,L,2023,D,4,
CYPC,British Columbia,1,31,L,2023,E,1,<5
CYPC,British Columbia,1,31,L,2023,E,2,<5
CYPC,British Columbia,1,31,L,2023,E,3,
CYPC,British Columbia,1,31,L,2023,E,4,
CYPC,British Columbia,1,31,L,2023,S,1,<5
CYPC,British Columbia,1,31,L,2023,S,2,5
CYPC,British Columbia,1,31,L,2023,S,5,
CYPC,British Columbia,1,31,L,2023,S,6,4.23
CYPC,British Columbia,1,32,L,2023,B,1,<5
CYPC,British Columbia,1,32,L,2023,B,2,<5
CYPC,British Columbia,1,32,L,2023,B,3,
CYPC,British Columbia,1,32,L,2023,B,4,
CYPC,British Columbia,1,32,L,2023,C,1,<5
CYPC,British Columbia,1,32,L,2023,C,2,10
CYPC,British Columbia,1,32,L,2023,C,3,
CYPC,British Columbia,1,32,L,2023,C,4,21.34
CYPC,British Columbia,1,32,L,2023,D,1,<5
CYPC,British Columbia,1,32,L,2023,D,2,5
CYPC,British Columbia,1,32,L,2023,D,3,
CYPC,British Columbia,1,32,L,2023,D,4,7.76
CYPC,British Columbia,1,32,L,2023,E,1,<5
CYPC,British Columbia,1,32,L,2023,E,2,5
CYPC,British Columbia,1,32,L,2023,E,3,
CYPC,British Columbia,1,32,L,2023,E,4,7.47
CYPC,British Columbia,1,32,L,2023,S,1,<5
CYPC,British Columbia,1,32,L,2023,S,2,20
CYPC,British Columbia,1,32,L,2023,S,5,
CYPC,British Columbia,1,32,L,2023,S,6,9.51
CYPC,British Columbia,1,33,L,2023,B,1,<5
CYPC,British Columbia,1,33,L,2023,B,2,<5
CYPC,British Columbia,1,33,L,2023,B,3,
CYPC,British Columbia,1,33,L,2023,B,4,
CYPC,British Columbia,1,33,L,2023,C,1,<5
CYPC,British Columbia,1,33,L,2023,C,2,<5
CYPC,British Columbia,1,33,L,2023,C,3,
CYPC,British Columbia,1,33,L,2023,C,4,
CYPC,British Columbia,1,33,L,2023,D,1,<5
CYPC,British Columbia,1,33,L,2023,D,2,<5
CYPC,British Columbia,1,33,L,2023,D,3,
CYPC,British Columbia,1,33,L,2023,D,4,
CYPC,British Columbia,1,33,L,2023,E,1,<5
CYPC,British Columbia,1,33,L,2023,E,2,5
CYPC,British Columbia,1,33,L,2023,E,3,
CYPC,British Columbia,1,33,L,2023,E,4,7.47
CYPC,British Columbia,1,33,L,2023,S,1,<5
CYPC,British Columbia,1,33,L,2023,S,2,15
CYPC,British Columbia,1,33,L,2023,S,5,
CYPC,British Columbia,1,33,L,2023,S,6,7.95
CYPC,British Columbia,1,34,L,2023,B,1,<5
CYPC,British Columbia,1,34,L,2023,B,2,<5
CYPC,British Columbia,1,34,L,2023,B,3,
CYPC,British Columbia,1,34,L,2023,B,4,
CYPC,British Columbia,1,34,L,2023,C,1,<5
CYPC,British Columbia,1,34,L,2023,C,2,5
CYPC,British Columbia,1,34,L,2023,C,3,
CYPC,British Columbia,1,34,L,2023,C,4,10.67
CYPC,British Columbia,1,34,L,2023,D,1,<5
CYPC,British Columbia,1,34,L,2023,D,2,5
CYPC,British Columbia,1,34,L,2023,D,3,
CYPC,British Columbia,1,34,L,2023,D,4,7.76
CYPC,British Columbia,1,34,L,2023,E,1,<5
CYPC,British Columbia,1,34,L,2023,E,2,<5
CYPC,British Columbia,1,34,L,2023,E,3,
CYPC,British Columbia,1,34,L,2023,E,4,
CYPC,British Columbia,1,34,L,2023,S,1,10
CYPC,British Columbia,1,34,L,2023,S,2,15
CYPC,British Columbia,1,34,L,2023,S,5,23.81
CYPC,British Columbia,1,34,L,2023,S,6,8.53
CYPC,British Columbia,1,35,L,2023,B,1,<5
CYPC,British Columbia,1,35,L,2023,B,2,<5
CYPC,British Columbia,1,35,L,2023,B,3,
CYPC,British Columbia,1,35,L,2023,B,4,
CYPC,British Columbia,1,35,L,2023,C,1,<5
CYPC,British Columbia,1,35,L,2023,C,2,<5
CYPC,British Columbia,1,35,L,2023,C,3,
CYPC,British Columbia,1,35,L,2023,C,4,
CYPC,British Columbia,1,35,L,2023,D,1,<5
CYPC,British Columbia,1,35,L,2023,D,2,<5
CYPC,British Columbia,1,35,L,2023,D,3,
CYPC,British Columbia,1,35,L,2023,D,4,
CYPC,British Columbia,1,35,L,2023,E,1,<5
CYPC,British Columbia,1,35,L,2023,E,2,<5
CYPC,British Columbia,1,35,L,2023,E,3,
CYPC,British Columbia,1,35,L,2023,E,4,
CYPC,British Columbia,1,35,L,2023,S,1,<5
CYPC,British Columbia,1,35,L,2023,S,2,5
CYPC,British Columbia,1,35,L,2023,S,5,
CYPC,British Columbia,1,35,L,2023,S,6,3.72
CYPC,British Columbia,1,36,L,2023,B,1,<5
CYPC,British Columbia,1,36,L,2023,B,2,<5
CYPC,British Columbia,1,36,L,2023,B,3,
CYPC,British Columbia,1,36,L,2023,B,4,
CYPC,British Columbia,1,36,L,2023,C,1,<5
CYPC,British Columbia,1,36,L,2023,C,2,<5
CYPC,British Columbia,1,36,L,2023,C,3,
CYPC,British Columbia,1,36,L,2023,C,4,
CYPC,British Columbia,1,36,L,2023,D,1,<5
CYPC,British Columbia,1,36,L,2023,D,2,<5
CYPC,British Columbia,1,36,L,2023,D,3,
CYPC,British Columbia,1,36,L,2023,D,4,
CYPC,British Columbia,1,36,L,2023,E,1,<5
CYPC,British Columbia,1,36,L,2023,E,2,<5
CYPC,British Columbia,1,36,L,2023,E,3,
CYPC,British Columbia,1,36,L,2023,E,4,
CYPC,British Columbia,1,36,L,2023,S,1,<5
CYPC,British Columbia,1,36,L,2023,S,2,<5
CYPC,British Columbia,1,36,L,2023,S,5,
CYPC,British Columbia,1,36,L,2023,S,6,
CYPC,British Columbia,1,40,L,2023,B,1,<5
CYPC,British Columbia,1,40,L,2023,B,2,10
CYPC,British Columbia,1,40,L,2023,B,3,
CYPC,British Columbia,1,40,L,2023,B,4,90.94
CYPC,British Columbia,1,40,L,2023,C,1,<5
CYPC,British Columbia,1,40,L,2023,C,2,10
CYPC,British Columbia,1,40,L,2023,C,3,
CYPC,British Columbia,1,40,L,2023,C,4,21.34
CYPC,British Columbia,1,40,L,2023,D,1,<5
CYPC,British Columbia,1,40,L,2023,D,2,<5
CYPC,British Columbia,1,40,L,2023,D,3,
CYPC,British Columbia,1,40,L,2023,D,4,
CYPC,British Columbia,1,40,L,2023,E,1,<5
CYPC,British Columbia,1,40,L,2023,E,2,<5
CYPC,British Columbia,1,40,L,2023,E,3,
